127.0.0.1 - - [26/Dec/2019:10:47:18 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:27 +0800] "GET /hotelReservation/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:30 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:30 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:30 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:30 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:47:30 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:22 +0800] "POST /hotelReservation/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:22 +0800] "GET /hotelReservation/jsp/main.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:22 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:22 +0800] "GET /hotelReservation/css/nav.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:22 +0800] "GET /hotelReservation/css/main.css HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:22 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:27 +0800] "POST /hotelReservation/Main_Search HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:27 +0800] "GET /hotelReservation/css/result.css HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:30 +0800] "GET /hotelReservation/jsp/booking.jsp?hotelid=9 HTTP/1.1" 200 2960
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:30 +0800] "GET /hotelReservation/css/booking.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:47 +0800] "POST /hotelReservation/Booking HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:50 +0800] "GET /hotelReservation/jsp/order.jsp HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:50:50 +0800] "GET /hotelReservation/css/order.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:51:32 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:51:33 +0800] "GET /hotelReservation/css/my.css HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:51:33 +0800] "GET /hotelReservation/image/user_pic.png HTTP/1.1" 200 44329
0:0:0:0:0:0:0:1 - - [26/Dec/2019:10:51:46 +0800] "GET /hotelReservation/jsp/order.jsp HTTP/1.1" 200 4439
